tweet_id,customer_text,human_intent,predicted_intent,human_escalation,predicted_escalation,draft_reply,reason,top_similarity
741555,@AmazonHelp Yes. It's because @115821 sold my preorder on the Treasure Truck instead of sending it to people who pre ordered it!,delivery_issue,non_action_or_context,yes,False,"We want to look into this for you. Could you share what estimated delivery date you were given, and check the latest info here: https://t.co/Y5jpI9gRhE?",The historical evidence provides a standard troubleshooting step to ask for the estimated delivery date and check the order details link.,0.2887600554551977
1390009,@AmazonHelp It's a day 3 my product is out for delivery. But I didn't get any contact details of delivery agent. Plz help me with only contact no.,delivery_issue,delivery_issue,yes,False,We are unable to share the delivery agent's contact details over social media for privacy and security reasons. Please check the email we sent you for further assistance with your delivery.,"The historical evidence indicates that we cannot share personal or contact details over Twitter, and customers should be directed to check our email communication for further help.",0.3084357325945953
1317506,@AmazonHelp Thank you to your online chat team for helping me sort this out my order should be dispatched today and arrive tomorrow before 1 o'clock,non_action_or_context,non_action_or_context,no,False,You're very welcome! Please feel free to reach out again if you need any further assistance.,The customer is expressing gratitude for a resolved issue and requires no further action.,0.35744316009404
1510496,@AmazonHelp It's being delivered again today. Due Tuesday &amp; each day has said it will be delivered today. It left for locker delivery Tuesday evening.,delivery_issue,delivery_issue,yes,False,Apologies for the delay with your locker delivery. Please reach out to us here: https://t.co/JzP7hlA23B so we can look into this for you.,The historical evidence supports directing the customer to the contact link to investigate delivery delays.,0.2812253844422909
1303649,@AmazonHelp This is the latest one I have received. Now stop this nonsense please. https://t.co/XcNWe8q0FQ,delivery_issue,delivery_issue,yes,True,,"The customer is expressing ongoing frustration about receiving unwanted communications with a link, and the historical evidence does not provide a clear resolution policy for this specific situation.",0.3772416365893615
2238481,"@AmazonHelp it's an item I need today though, so if it isn't here by 9pm it will be too late? this happens often when it hasn't shipped by at least noon",delivery_issue,delivery_issue,yes,True,I'm sorry for the concern regarding your delivery time today. Please reach out to us via our support link so we can take a closer look at this for you.,"The historical evidence is weak and insufficient to directly resolve the customer's specific delivery timeline concern, requiring human agent assistance.",0.2671910657248535
1293713,@AmazonHelp Today im not going to be able to answer the door bc im locked in. And i NEED these supplies today for a commission 😂😭,non_action_or_context,non_action_or_context,yes,True,,"The historical evidence is weak and insufficient to handle a customer locked inside their home needing urgent delivery assistance, so the issue must be escalated to a human agent.",0.2658873835237128
2923515,@AmazonHelp こちらこそいつもありがとうございます。色々と助かってます。私のプレゼントもアマゾンさまから届くといいのですが(^_^;)残念ながら旦那サンタは見ていないようです,non_action_or_context,non_action_or_context,yes,False,温かいお言葉をいただき、誠にありがとうございます！旦那サンタからの素敵なプレゼントが届くよう、私たちも陰ながら応援しております。今後ともAmazonをよろしくお願いいたします。,"Customer is sharing a lighthearted personal remark and expressing gratitude, which can be appropriately addressed with a friendly, polite acknowledgment based on historical interaction patterns without needing human intervention.",1.0
1798441,"@AmazonHelp The manager I finally xferred to is trying to make it right, but it should not have taken a manager.",non_action_or_context,non_action_or_context,yes,False,I'm so sorry for the frustration and inconvenience this situation has caused you. We appreciate your patience while working with our management team to get this resolved.,"The customer is already dealing with a manager who is trying to make things right, so the issue does not require further escalation at this moment.",0.2723255415458373
245885,@AmazonHelp Sir I have mailed the courier recipient but Amazon is asking written letter from courier officials apart from recipient to prove courier chg,non_action_or_context,non_action_or_context,yes,False,"I'm sorry for the frustration this has caused. Since you have already provided the courier details, please reply with the attachment again so our team can review it and assist you further.","The customer is being asked for additional documentation by support, and historical evidence suggests having the customer resend the courier slip for team review.",0.2683325003761035
127402,@AmazonHelp It's definitely the app that's the issue because clicking on the link you gave me opens it up in the Twitter in-app browser on mobile and that allows me to successfully login. It's specifically the app that won't let me login.,account_login,account_login,yes,False,"We apologize for the login trouble you are experiencing with the app. Since you are able to log in successfully through the mobile browser, please try clearing your app's cache and data, or reinstalling the application to see if that resolves the issue.","The customer is experiencing a technical issue with the mobile app login, and troubleshooting steps such as clearing cache or reinstalling can be provided based on standard support procedures.",0.3322200126095082
530419,@AmazonHelp Weather Disaster??? Weather was good in Gurgaon in last week. Not understanding this reason for delayed my product.,non_action_or_context,delivery_issue,yes,False,"Apologies for any confusion regarding the delivery delay. I understand your concern about the local weather conditions last week, and I would be happy to look into the updated transit details for your package.","The historical evidence provides a standard response for weather-related delivery delays, allowing for a professional and polite reply without needing escalation.",0.2795848551935468
514664,@AmazonHelp El pedido es directamente de Amazon y los dos casos de la foto se tratan de productos vendidos y enviados por Amazon directamente y con Prime disponible,non_action_or_context,non_action_or_context,yes,False,Hola. ¿Ya te pusiste en contacto con el transportista para verificar el estado de tus productos?,"The customer is specifying that the items are sold and shipped by Amazon with Prime, and historical evidence suggests guiding them to check with the carrier regarding their shipment.",0.4885462018172482
1469146,"@AmazonHelp It shows a new delivery date of tomorrow or Saturday. That’s rude, I️ could’ve gotten it at the store. 😑",delivery_issue,delivery_issue,yes,False,I'm sorry for the delay and the frustration regarding the new delivery date. Please reach out to us directly so we can take a closer look at your order details: https://t.co/hApLpMlfHN,"The customer is expressing frustration over a delayed delivery, and following historical evidence 3, we can direct them to our support link for further assistance without promising specific outcomes or accessing the account directly.",0.2863739339064122
1075575,@AmazonHelp Filled out.,non_action_or_context,non_action_or_context,yes,False,"Thanks for the update! We have received your information, and a member of our team will follow up with you soon via email.",The historical evidence provides clear and consistent resolution strategies for when a customer confirms they have filled out a form or provided information.,0.7580374651793456
1615564,@AmazonHelp You can easily resolve my prob but simply u didn't want to return my money you are wasting my time! But i will not keep quiet! I wil xpose u,refund_issue,return_replacement,yes,False,I understand your frustration regarding your refund. Please reply to the recent email you received from our support team with your details so we can look into this and assist you further.,"The customer is upset about a refund and a potential escalation, but the historical evidence provides a standard procedure of asking the customer to reply to the ongoing email thread for assistance.",0.2759889142130927
140990,"@AmazonHelp ok, will do. thanks",non_action_or_context,non_action_or_context,yes,False,You're very welcome! Please feel free to reach out again if you need any further assistance.,"The customer's message is a closing statement of gratitude and acknowledgement, which can be appropriately handled with a polite, standard sign-off without needing escalation.",1.0
815570,"@AmazonHelp Ok ya está, pero para cambiarla en un pedido que ya está en camino? Me sigue saliendo la antigua...",non_action_or_context,non_action_or_context,yes,True,"Hola. Cuando un pedido ya está en camino y la dirección no se actualiza, es necesario que nos contactes directamente por teléfono para que nuestros compañeros de atención al cliente puedan revisar las opciones disponibles con el servicio de entrega. 😊","The customer is asking to modify the delivery address for a package already in transit, which requires live agent intervention to check carrier options since automated updates no longer apply.",0.4549812371752358
2898960,"@AmazonHelp I am 100% that I did cancel it, but found out I was charged yesterday. I'm not sure I understand how it works if I cancel and am still charged.",cancel_order,cancel_order,yes,True,Apologies for any confusion regarding your recent charge after cancellation. We would like to take a closer look at this for you.,"The historical support evidence is weak and does not provide a direct resolution for unexpected charges following a cancellation, requiring human agent intervention.",0.2405304397344807
1261821,@AmazonHelp Ancora risulta non spedito...estremamente deluso...ho contatto il servizio ma non ho avuto risposte..,non_action_or_context,non_action_or_context,yes,False,"Ciao! Comprendiamo il tuo disappunto per il ritardo e per non aver ricevuto risposte. Per poterti aiutare al meglio, l'articolo è venduto e spedito da Amazon o da un venditore Marketplace?","Richiesta di chiarimento sullo stato dell'ordine e sul venditore basata sulla strategia di risoluzione dell'evidenza storica, in attesa di maggiori dettagli.",0.4980612249381745
206100,"@AmazonHelp Chatted w/ Customer Service yesterday. They said “It'll be delivered before Tuesday, November 7, 2017 12:00 AM (PST).” Still no package. :(",delivery_issue,non_action_or_context,yes,True,,"The customer is following up on a missed delivery date provided by a previous support agent, and the historical evidence does not provide a direct resolution strategy for this specific situation.",0.3215188104961926
1860946,@AmazonHelp Got it figured out thank you,non_action_or_context,non_action_or_context,yes,False,Thanks for keeping us updated! Please reach back out if anything else comes up.,"The customer stated they figured out the issue and only requires a polite acknowledgment, which is fully supported by historical evidence.",0.6550220497994663
256686,@AmazonHelp Will Cash back amount transferred to my account,payment_issue,account_login,yes,False,I understand you would like to know when your cashback will be transferred to your account. Could you please let us know when the eligible transaction took place so we can look into this for you?,Sufficient historical evidence exists to ask clarifying questions about the cashback timeline.,0.3791983181371593
948456,@AmazonHelp It's definitely a network issue. not sure at all what's causing it.,non_action_or_context,non_action_or_context,yes,False,We want to help look into this network issue. Please reach out to us directly by phone or chat at https://t.co/JzP7hlA23B so we can assist you further.,"The historical evidence provides a direct path to phone or chat support for technical issues, allowing us to guide the customer appropriately without needing account access.",0.3267279317175601
2950819,@AmazonHelp es un vendedor externo del sitio de uds.,non_action_or_context,non_action_or_context,yes,False,Entiendo. Puedes ponerte en contacto directamente con el vendedor a través del siguiente enlace para resolver tus dudas: https://t.co/usfx3HIWVI,Sufficient historical evidence is available to guide the customer on how to contact a third-party seller.,0.6784936075545743
358782,@AmazonHelp So how to use gift card ?? I have balance but can’t order,payment_issue,payment_issue,yes,False,I'm sorry to hear you're having trouble using your gift card balance. Please reach out to our dedicated support team so they can investigate this issue for you: https://t.co/R3EfhzgU8B,Provided standard troubleshooting link based on historical evidence for gift card balance issues.,0.3509568305191423
1201257,@AmazonHelp For the 3rd time - I ordered a gift that was $253. It dropped in price the day after I ordered - it hadn't even arrived at my house yet /1,non_action_or_context,non_action_or_context,yes,True,,The historical evidence is weak and insufficient to handle a post-purchase price adjustment query.,0.2443173871269497
1082342,"@AmazonHelp I did. That is how I learned the ability to get estimates doesn't exist. Update your records @AmazonHelp  
All a BIG waste of time!",non_action_or_context,non_action_or_context,yes,True,,"The historical evidence is insufficient to address the specific issue regarding estimate availability, and the customer is expressing high frustration over a recurring problem, requiring human intervention.",0.3475192811996438
2205209,@AmazonHelp November 16th when the deluxe which I preordered releases on the 14th.,order_status,non_action_or_context,yes,True,,"The historical evidence is insufficient to address a specific pre-order release date discrepancy, so the issue requires human review.",0.4283177007006523
1258279,@AmazonHelp Connection is also not fetching any results... Amazon help is fake,non_action_or_context,non_action_or_context,yes,True,"I'm sorry to hear that you're experiencing connection issues and feeling frustrated. Please allow our support team to investigate this by reaching out through our official support channel, and we will be happy to help.","The historical evidence is weak and the customer is expressing severe frustration and accusing support of being fake, requiring human intervention.",0.2602831191788972
1136583,@AmazonHelp I had purchased a BPL TV on 17.10.17 vide order id 404 9362662 5480344 bt it was arrived DOA and the screen badly damaged. Placed for return,return_replacement,return_replacement,yes,False,We apologize for the condition of your television upon arrival. Please reach out to us at https://t.co/rS49hgaADF so we can look into this return and assist you further.,The historical evidence supports directing the customer to the standard contact link for further assistance with their order issue.,0.2931982308477612
2093938,@AmazonHelp यहorder mi store से किया था mi storeवालो ने बडी चालाकी होशियारी से इसorderको इसलिए बीच रास्ते सेreturnकिया था ताकि यह2000रूपये बचा सके क्योकि मेराorderदीवालीofferमें था https://t.co/rcJYqbGeTu,return_replacement,non_action_or_context,yes,True,,"The historical evidence is weak and insufficient to handle a complex issue regarding a third-party store returning an order during a promotional offer, so the case must be escalated to a human agent.",0.5765688022410447
778160,@AmazonHelp I have filled these details last night which I have received on Facebook.,non_action_or_context,non_action_or_context,yes,False,Thank you for providing those details. We are looking into your concern and will follow up with an update soon.,Sufficient historical evidence supports acknowledging the customer's submitted details and assuring them of a follow-up without needing human escalation.,0.4244359928886199
794473,"@AmazonHelp Err : 'we are not able to find your order, for more please our website'.

It that mean without any order i cannot talk to customer care.",non_action_or_context,non_action_or_context,yes,False,Please log in to your registered account and reach out to our team through our support page so we can look into this for you.,The historical evidence provides a clear resolution path to direct the customer to log in to their account and contact support through the official link.,0.3141852948488878
77332,@AmazonHelp Are you saying an Amazon customer that can’t understand the Indian customer service really can understand them? And I’m unable to speak to anyone in America? Please advise,non_action_or_context,non_action_or_context,yes,True,I'd like to have a specialist from our team look more into this and escalate on your behalf. Please share more details about the issue you are experiencing so we can assist you further.,"The customer is expressing frustration about communication barriers and requesting to speak with a representative in a specific location, requiring escalation to a specialist team.",0.3428940294423305
1729620,"@AmazonHelp Yes, I hace already dropped them an email. Waiting for the reply.",non_action_or_context,non_action_or_context,yes,False,"Thank you for letting us know. Please allow us some time to review your email, and we will get back to you with an update shortly.",The historical evidence provides a clear and standard support response pattern for acknowledging that the customer has already sent an email or details and is waiting for a reply.,0.467983408362793
2747148,"@AmazonHelp Hola, el anuncio decía entrega en 1 día. Lo compré el 17 Nov y el 18 Nov el rastreo decia que me lo entregarían ese día. Entrega al día siguiente para mi significa eso. Por eso me suscribí a Prime. Tengo las capturas de pantalla de todo el proceso. https://t.co/s7LpkITn52",non_action_or_context,non_action_or_context,yes,True,Hola. Lamentamos los inconvenientes con el tiempo de entrega de tu pedido y entendemos tu frustración. ¿Podrías compartirnos más detalles sobre la situación y el número de pedido por mensaje directo para revisarlo?,"El cliente reporta un incumplimiento en el tiempo de entrega prometido con beneficios de Prime y menciona tener capturas de pantalla, por lo que requiere atención especializada.",0.3168592289655768
1816375,"@AmazonHelp Not able to login ....
If I go using Forgot password, followed by Authorisation code - it does not allow me to checkout ...",account_login,account_login,yes,False,We are sorry to hear that you are experiencing login and checkout issues. Please reach out to our support team at https://t.co/QS2bTd0snB so we can look into this further for you.,The historical evidence provides a direct link to connect with support for login issues.,0.3346673620791646
988059,@AmazonHelp Filled in the details.. talked to CC Rep on 15 oct.. was told that return will be picked up in 24 hrs.. its 18 Oct now. Still no show!,return_replacement,return_replacement,yes,True,We apologize for the delay with your return pickup. We are looking into this and will provide an update as soon as possible.,The historical evidence is weak and insufficient to handle a specific missed pickup escalation without account access.,0.2605954898201718
581173,@AmazonHelp Hi - yeah I ordered it yesterday on Prime and the delivery date says today. https://t.co/OR1HH1BiB2,order_status,delivery_issue,yes,False,"I can certainly look into this delivery for you. Please note that Prime orders can arrive as late as 10 PM local time. If it doesn't arrive by then, please reach back out to us.",Sufficient historical evidence supports addressing the inquiry about a same-day Prime delivery without requiring immediate human intervention.,0.2850421928971178
577082,@AmazonHelp They just keep telling me they refunded me so they can't do anything else! I didn't ask them to refund me. You've given me nothing but hollow apologies.,refund_issue,refund_issue,yes,True,,"The customer is frustrated with an unwanted refund and standard support responses. The historical evidence does not provide a direct resolution for this specific policy dispute, so it requires escalation to a human support agent.",0.3113497326623698
23980,@AmazonHelp one of your amazon colleagues said there is an issue with the system and that it is currently being fixed,non_action_or_context,non_action_or_context,yes,True,"We are sorry for any trouble you're experiencing with the system. Since this requires technical assistance, let's get you connected with our support team to help look into this further.","The historical evidence is weak and ambiguous, as it does not address system-wide outage reporting or active engineering fixes, requiring human intervention.",0.3023189641238151
1356323,@AmazonHelp I sent an email to CS earlier. I don’t think it was read. Response had absolutely nothing to to with my situation. Complete waste of time.,non_action_or_context,non_action_or_context,yes,False,"I'm sorry to hear that your previous email didn't address your issue. Since email responses can take some time, I recommend reaching out via our phone support option for a faster resolution.",The historical evidence suggests recommending the phone option for quicker resolution when email support is unsatisfactory.,0.3575760520307607
1714198,@AmazonHelp General experiences with amazon lately. I emailed feedback and got generic form replies...,non_action_or_context,delivery_issue,yes,True,,"The customer is expressing ongoing dissatisfaction with recent experiences and is frustrated by generic form replies. Based on the historical evidence, this requires human intervention to properly address the feedback.",0.2749666641474522
2825595,@AmazonHelp Je vous ai envoyé les informations nécessaires. Veuillez prendre une action bientôt et m'aider à récupérer mes commandes au plus tôt.,non_action_or_context,non_action_or_context,yes,False,Merci pour ces informations. Nous faisons le nécessaire et vous apporterons un retour le plus rapidement possible.,"The customer provided the requested information and is asking for assistance with their orders. Based on historical evidence, we can acknowledge receipt and assure them a prompt follow-up without needing to escalate.",0.5405062581774855
667744,@AmazonHelp Was there a reaction of the comments you forwarded,non_action_or_context,non_action_or_context,yes,True,,The historical evidence is weak and insufficient to address the customer's specific inquiry about forwarded comments.,0.2716128834434959
1609081,@AmazonHelp That's fine but when I pay for prime next day delivery I would expect it. Item was a safety gate needed for the next day!,delivery_issue,delivery_issue,yes,False,I'm sorry for any frustration regarding your delivery. Have we missed the delivery date provided in your order confirmation email? Let us know.,Sufficient historical evidence available to respond by asking about the delivery confirmation date.,0.3890112949969141
1211675,@AmazonHelp I won't at all tolerate such behavior from you Amazon. This is unacceptable. Make sure you take proper action against such staffs of yours,non_action_or_context,non_action_or_context,yes,True,I understand your frustration and sincerely apologize for this experience. Please reach out to us via direct message with the details of your concern so we can review this internally.,"The customer is demanding disciplinary action against specific staff, which requires internal review and handling by human support agents.",0.2530731933541596
434439,@AmazonHelp yes i sent it today,non_action_or_context,non_action_or_context,yes,False,Thank you for letting us know. Our team will review the details and follow up with you as soon as possible.,Sufficient historical evidence available to acknowledge receipt of the customer's update.,0.5473473670065989
845285,@AmazonHelp In French,non_action_or_context,non_action_or_context,yes,False,We would be glad to help you with this. Please reach out to us via email so we can take a closer look.,"The customer is asking for assistance in French, and historical evidence shows we can assist them by directing them to our email support channel.",0.6179118431609705
1111497,"@AmazonHelp Rather than being concern about the customer problem, you are more concerned about the info that highlight your poor service.",non_action_or_context,non_action_or_context,yes,False,"I'm very sorry for the frustration this has caused, and I will make sure your feedback is shared with the right team internally.",The historical evidence provides a standard response strategy for handling customer feedback and complaints about service quality.,0.3107230546953392
1338511,@AmazonHelp Are you saying I'll get login details later and can then query it by messaging? At the moment I feel annoyed that Amazon refuse to help.,account_login,account_login,yes,False,We apologize for the frustration. Please connect with us through our secure support link so we can look into this and assist you further.,"The customer is expressing frustration and needs assistance with login and messaging details, which can be handled by directing them to our standard support channel based on historical evidence.",0.260660941437849
31837,@AmazonHelp i better stop ordering from @115850 and start ordering from elsewhere. there is no more time commitment or customer satisfaction left,non_action_or_context,non_action_or_context,yes,False,"I'm sorry for the frustration with your recent experience. Without posting personal information, could you share a bit more about what's going on so we can help?",The historical evidence provides a clear strategy to ask for more details about the issue without requesting personal information.,0.3090408168982899
2508105,@AmazonHelp Still trying. Changing deliver from yours to UPS or Fed Ex. But your customer service team can’t quickly help me. They all admit flaws in your system. I’d love to talk to a bigger boss who actually can do something.,delivery_issue,non_action_or_context,yes,True,We understand your frustration and want to get this resolved for you. Please reach out to us via chat or phone so an account specialist can assist you further.,The customer is expressing extreme frustration with system flaws and explicitly requesting to speak with a supervisor or someone with higher authority who can take action.,0.246583730095039
959386,@AmazonHelp そうなんですね！これから活用していきたいと思います。ありがとうございました！,non_action_or_context,non_action_or_context,yes,False,とんでもないことでございます。今後ともAmazonをよろしくお願いいたします。何かご不明な点がございましたら、いつでもお気軽にお知らせください。,Customer is expressing gratitude and no further action or escalation is required.,0.8717552049008338
962050,@AmazonHelp Why reschedule my order without any information and they mentioned as per customer request order reschedule,delivery_issue,non_action_or_context,yes,True,,"The historical evidence shows similar complaints about orders being rescheduled or canceled without notice, but does not provide a definitive resolution or policy to address the customer's specific grievance regarding the false 'customer request' reason, requiring human intervention.",0.3595450273271163
425081,@AmazonHelp I spoke with someone from your leadership group.  The items are made to order and your website was incorrect.  They are addressing the issue.  TY for your reply.,non_action_or_context,non_action_or_context,no,False,You're very welcome! Please let us know if you need anything else.,"The customer is satisfied, confirming their issue is being addressed by leadership and thanking support. The historical evidence strongly supports a polite closing response without needing further escalation.",0.2653895423492064
2766252,@AmazonHelp sir u refund my blance 9997. and 16.11 u agian refund amount revarece debit.,refund_issue,refund_issue,yes,True,"I'm sorry to hear that an amount was debited after your refund. Because we cannot access your account details here on social media, could you please contact our customer service team directly so we can look into this for you?","The customer is reporting an unauthorized debit of a refunded amount, which requires account-specific investigation and escalation to customer support.",0.4749432758096954
1409108,@AmazonHelp  https://t.co/UtpRGE9hcf,non_action_or_context,non_action_or_context,yes,False,"My apologies for the trouble. If you reach out to us directly through our support link, we will be glad to look into this further with you.",The historical evidence provides a clear strategy to direct the customer to support for further assistance.,1.0000000000000002
2981839,"@AmazonHelp こんにちは！まさか！公式さんからコメント頂けるとは！
これ、めちゃくちゃ人気らしいですね！これからも御社のご活躍期待しております！",non_action_or_context,non_action_or_context,yes,True,,The customer's message is a friendly greeting and expression of support rather than a technical issue or inquiry that requires a customer support action or resolution strategy from the historical evidence.,0.8301451755024954
516656,"@AmazonHelp UPS; delayed, due between 12/2 and 12/4. Check back Thursday if not received.",non_action_or_context,delivery_issue,yes,True,,The historical evidence has low similarity scores and does not provide a relevant resolution strategy for a standard UPS shipping delay inquiry where the customer is already tracking the delivery window.,0.3783574461338305
495904,@AmazonHelp I just spoke to someone thank you!,non_action_or_context,non_action_or_context,yes,False,Thank you for reaching out to let us know! We're glad we could get that sorted out for you. Have a great day!,"The customer is simply expressing gratitude after resolving an issue, and historical evidence provides clear guidance for a polite, appreciative acknowledgment without needing further escalation.",0.540605717902928
2939146,@AmazonHelp  https://t.co/bzhvPNTrE5,non_action_or_context,non_action_or_context,yes,False,"Thanks for reaching out! Please keep in mind that our social media page is public, so we kindly ask that you avoid sharing any personal information like order numbers or tracking details here.","The customer shared a link without text, similar to historical cases where reminding them about public personal information sharing is appropriate.",1.0000000000000002
2480144,"@AmazonHelp Well, just tonight, still another one... also to the Panda locker... This also lists AMZL US as carrier. https://t.co/hZAxIMps3J",delivery_issue,non_action_or_context,yes,False,We'd like to look into this further for you. Please share additional details through this secure form: https://t.co/XUxdvrz61P,"The customer is reporting another carrier delivery issue to a locker, matching previous support interactions where we request additional details via our research form.",0.350450847068177
2850759,@AmazonHelp I contacted customer service and they have processed a refund for me. Lovely service! Thankyou ☺️,non_action_or_context,refund_issue,no,False,We are glad to hear your issue was resolved. Please reach out again if you need any further assistance.,The customer is expressing satisfaction with a completed refund and no further action or escalation is required.,0.5814539025319395
1373382,@AmazonHelp Not cool at all https://t.co/02MFpAEJ97,non_action_or_context,non_action_or_context,yes,False,"We are so sorry to see this! We would like to investigate this further with you. When you have a moment, please reach out to us via phone or chat through our support page.",The historical evidence provides a clear strategy to direct the customer to support via phone or chat to look into the issue.,0.6303575926833704
490536,"@AmazonHelp Gracias, se me olvidaba decir que soy usuario PRIME, lo peor de todo es que esto ya me ha pasado más veces con esta agencia de transportes...la vez anterior con unos cuentos que le compre a mi hijo por su cumpleaños, llegaron 3 días tardes, se lo tuve que dar pasado su cumpleaños",non_action_or_context,non_action_or_context,yes,False,"Hola. Sentimos mucho los inconvenientes con las entregas de esta agencia de transportes. Como usuario Prime, puedes reportar cualquier incidencia directamente con nuestro departamento de Servicio al Cliente para que te puedan ayudar con tu caso actual: https://t.co/3VUNgKvI9r","The customer is expressing ongoing frustration with a delivery carrier and mentioning past delayed orders. Based on historical evidence, we can guide the customer to contact Customer Service directly to report the specific incident without needing to access their account or make false promises.",0.3069207668822381
1072661,@AmazonHelp Thx for info.I'll follow.Kindly consider this request and initiate the refund process and make a note I didn't received this item @115850,refund_issue,refund_issue,yes,True,,"The customer is requesting a refund for an unreceived item, and the historical evidence only contains polite acknowledgments ('thx'), making it insufficient to handle the specific refund request.",0.2833761875663377
504917,"@AmazonHelp Unfortunately i do not speak french, can you tell me the correct buttons/links i've got to click?",non_action_or_context,non_action_or_context,yes,True,,"The historical evidence is insufficient to address the customer's specific technical issue regarding navigation in a foreign language, requiring human assistance.",0.3508032567326885
439315,@AmazonHelp I haven't.,non_action_or_context,non_action_or_context,yes,False,Could you please try testing this out on another device or using a different connection to see if that helps?,The customer's message matches historical support evidence where troubleshooting steps like trying another device or connection were successfully provided.,1.0
2608052,@AmazonHelp Por ahora empezaré con Red Oakes. Y después con Mr. Robot ♥️,non_action_or_context,non_action_or_context,yes,False,"¡Qué excelentes elecciones! Disfruta mucho de ambas series. Si necesitas ayuda con algo más, aquí estamos. 💚","The customer is simply sharing their viewing plans and the historical evidence provides a friendly, conversational precedent for acknowledging media choices.",0.4603613302363717
